Job_Title,Years_of_Professional_Experience_Overall,Total_Compensation
"Manager, Program Management","11 - 20 years",623000.00
"Principal Product Manager","21 - 30 years",621000.00
"Principal Software Engineer ","11 - 20 years",621000.00
"Research Assistant","2 - 4 years",620326.00
Realtor,"8 - 10 years",619400.00
"Electrical Engineer","2 - 4 years",618970.00
"Senior Manager","5-7 years",615130.00
"Vice President","5-7 years",615000.00
"Pharmacy Manager","11 - 20 years",614747.00
"Registered Nurse","8 - 10 years",614384.70
"Communications Specialist","5-7 years",614117.00
"Principal Security Engineer","21 - 30 years",614000.00
"Account Manager ","11 - 20 years",613650.00
"Sr. Director","11 - 20 years",613000.00
"Software Development Engineer","8 - 10 years",612938.30
"Senior Consultant","21 - 30 years",612500.00
"Compensation Manager","11 - 20 years",611500.00
"Senior Staff Privacy Engineer","8 - 10 years",610000.00
"Consumer Marketing Lead","11 - 20 years",610000.00
"Senior Software Engineer ","8 - 10 years",608000.00
"Software Engineer 2","2 - 4 years",608000.00
"Lead Engineer","11 - 20 years",608000.00
"Senior Manager ","8 - 10 years",607000.00
"Engineering Manager","31 - 40 years",606000.00
"Data Engineer","2 - 4 years",602320.00
Underwriter,"11 - 20 years",601000.00
"Equity Partner","21 - 30 years",600000.00
"Vice President Of Production","31 - 40 years",600000.00
"Product Design Manager","11 - 20 years",600000.00
"Evp Product","11 - 20 years",600000.00
"Director Of Software Engineering","11 - 20 years",599000.00
Coordinator,"11 - 20 years",597450.00
"Principal Data Scientist","11 - 20 years",596500.00
"Systems Engineer","8 - 10 years",596000.00
"Account Manager","2 - 4 years",595650.00
"Senior Financial Analyst","11 - 20 years",595600.00
"Communications Specialist","11 - 20 years",594541.70
"Campaign Manager","8 - 10 years",592000.00
"Software Development Manager","8 - 10 years",592000.00
"Principal Program Manager","11 - 20 years",592000.00
"Principal Product Designer","11 - 20 years",591250.00
"Senior Analyst","2 - 4 years",591052.10
"Senior Director Of Marketing","11 - 20 years",590000.00
Analyst,"21 - 30 years",589000.00
"Program Manager ","11 - 20 years",587093.00
Director,"2 - 4 years",584000.00
"Vp Marketing","21 - 30 years",583000.00
"Senior Security Engineer","11 - 20 years",583000.00
"Director Of Product","11 - 20 years",582950.00
"Director Of Communications","8 - 10 years",581800.00
"Sr. Software Engineer","21 - 30 years",581000.00
"Project Manager","31 - 40 years",579384.00
"Systems Engineer","5-7 years",579014.00
"Research Scientist","8 - 10 years",577736.00
Associate,"1 year or less",577435.00
"Director Of Human Resources","21 - 30 years",575380.00
"Lead Engineer","21 - 30 years",575000.00
"Senior Software Engineer ","21 - 30 years",574422.00
"Business Development Manager","11 - 20 years",573750.00
"Web Developer","21 - 30 years",572425.00
Registrar,"11 - 20 years",571780.00
"Senior Data Scientist","11 - 20 years",570550.00
"Middle School Social Studies Teacher","2 - 4 years",570000.00
"Director Of Development ","11 - 20 years",570000.00
"Analytics Manager","8 - 10 years",567965.00
"Data Science Manager","11 - 20 years",567500.00
"Senior Business Analyst","21 - 30 years",567380.70
"Technical Director","11 - 20 years",566970.00
"Chief Financial Officer","11 - 20 years",566500.00
"Chief Of Staff","8 - 10 years",566400.00
"Systems Analyst","21 - 30 years",565946.40
"Email Marketing Manager","5-7 years",564500.00
"Attorney ","21 - 30 years",564498.00
"Devops Engineer","8 - 10 years",563300.00
Md,"5-7 years",560000.00
"Svp Hr","21 - 30 years",560000.00
"Sr. Manager, Sre","21 - 30 years",560000.00
"Facilities Coordinator ","1 year or less",560000.00
"Teacher ","11 - 20 years",558583.20
"Engineering Director","21 - 30 years",557500.00
"Social Media Manager","11 - 20 years",557240.00
"Senior Customer Success Manager","11 - 20 years",555439.00
"Associate ","1 year or less",555000.00
"Associate Attorney","1 year or less",555000.00
"Senior Manager, Operations","11 - 20 years",554700.00
"Executive Assistant ","8 - 10 years",552250.00
"Director Of Operations ","11 - 20 years",551700.00
"Solutions Architect","8 - 10 years",551600.00
"Privacy Engineer","11 - 20 years",551000.00
Archivist,"11 - 20 years",550971.00
"Sales Manager","8 - 10 years",550819.00
"Senior Policy Analyst","11 - 20 years",550193.00
"Assistant Leader Of Maths","8 - 10 years",550000.00
"Tv Writer","11 - 20 years",550000.00
"Senior Manager Software Dev","21 - 30 years",550000.00
"Senior Software Engineering Manager","21 - 30 years",547500.00
"Software Engineer","31 - 40 years",546540.00
"Lead Software Engineer","5-7 years",546019.00
"Senior Technical Program Manager","31 - 40 years",545000.00
Cfo,"21 - 30 years",544009.00
Professor,"31 - 40 years",543000.00
"Senior Financial Analyst","21 - 30 years",542901.00
Lawyer,"5-7 years",542900.00
"Team Lead","21 - 30 years",542282.00
"Brand Manager","11 - 20 years",541000.00
"General Manager","8 - 10 years",540700.00
"Vp Finance","8 - 10 years",540000.00
"Senior Product Manager","5-7 years",538964.00
"Engagement Manager","8 - 10 years",538600.00
Scientist,"11 - 20 years",536508.00
Developer,"11 - 20 years",534484.50
"Academic Advisor","5-7 years",532750.00
"Software Engineer Ii","8 - 10 years",532100.00
"Senior Business Analyst","11 - 20 years",530575.30
"Finance Director","11 - 20 years",530000.00
"Executive Director","5-7 years",529651.00
"Content Manager","5-7 years",529642.00
"Associate Attorney ","8 - 10 years",527500.00
"It Manager","8 - 10 years",527445.00
"Financial Analyst","8 - 10 years",527251.00
"Manager, Information Security","8 - 10 years",526500.00
"Vp ","11 - 20 years",525000.00
"Assistant General Counsel","11 - 20 years",525000.00
"Human Resources Business Partner","11 - 20 years",524569.00
"Sr. Product Manager","11 - 20 years",524000.00
"Assistant Vice President","11 - 20 years",523000.00
"Program Manager","31 - 40 years",522700.00
"Attorney Advisor","11 - 20 years",520268.00
"Chief Technology Officer","21 - 30 years",520000.00
Lawyer,"11 - 20 years",519000.00
"Director Of Research","11 - 20 years",519000.00
"Customer Success Manager","2 - 4 years",518884.00
"Social Media Manager","8 - 10 years",518000.00
"Counsel ","11 - 20 years",517500.00
"Senior Accountant","8 - 10 years",516500.00
Epidemiologist,"5-7 years",515120.00
"Director Of Marketing","8 - 10 years",515000.00
"Assistant Project Manager","5-7 years",514150.00
"Program Officer","8 - 10 years",513535.00
Psychologist,"5-7 years",512000.00
"Lead Developer","21 - 30 years",511710.00
"Sales Manager","11 - 20 years",511400.00
"Research Analyst","8 - 10 years",511100.00
"Content Marketing Manager","11 - 20 years",510000.00
"Vp Product Management","21 - 30 years",510000.00
"Data Scientist","1 year or less",510000.00
"Senior Attorney","11 - 20 years",509800.00
"Senior Project Manager ","11 - 20 years",509550.00
"Marketing Director","21 - 30 years",508000.00
"Enterprise Architect","31 - 40 years",507000.00
"Devops Engineer","11 - 20 years",506690.00
"Product Manager ","8 - 10 years",506547.00
"Senior Programmer","11 - 20 years",505500.00
"Chief Marketing Officer","21 - 30 years",505000.00
"Systems Analyst","11 - 20 years",503900.00
"Legal Assistant","5-7 years",502778.50
"Office Manager ","11 - 20 years",502610.00
"Policy Analyst","2 - 4 years",502429.90
Controller,"21 - 30 years",502240.00
"Marketing Manager","2 - 4 years",501529.40
Consultant,"1 year or less",501000.00
"Computer Scientist","21 - 30 years",500800.00
"Instructional Designer","21 - 30 years",500063.00
"Turnip Farmer","8 - 10 years",500000.00
"Svp Sales Engineering","11 - 20 years",500000.00
"Enterprise Account Executive","11 - 20 years",500000.00
"Financial Advisor","11 - 20 years",500000.00
"Corporate Controller","21 - 30 years",500000.00
Economist,"11 - 20 years",498857.00
"Senior Director ","21 - 30 years",497500.00
"Principal Software Architect","11 - 20 years",495000.00
"Human Resources Generalist","11 - 20 years",494700.00
"Ux Designer","5-7 years",494500.00
"Senior Front End Developer","11 - 20 years",493500.00
"Content Manager","11 - 20 years",493225.00
President,"21 - 30 years",492000.00
Copywriter,"11 - 20 years",491720.00
"Principal Product Manager","11 - 20 years",491280.00
"Operations Analyst","11 - 20 years",490000.00
"Senior Technical Program Manager","8 - 10 years",489800.00
"Content Marketing Manager","5-7 years",489623.00
"Senior Associate ","11 - 20 years",488900.00
"Machine Operator ","11 - 20 years",488892.00
"Chief Of Staff","5-7 years",488800.00
"Physician ","21 - 30 years",488000.00
"High School Math Teacher","5-7 years",488000.00
Principal,"11 - 20 years",487000.00
"Digital Director","11 - 20 years",487000.00
"Administrative Assistant","21 - 30 years",486961.00
"Business Development Manager","5-7 years",486540.00
"Process Engineer","8 - 10 years",485000.00
"Registered Nurse","2 - 4 years",484971.00
"Program Director","8 - 10 years",483440.00
"Lead Software Engineer ","11 - 20 years",483000.00
"Project Engineer","8 - 10 years",482600.00
"Financial Analyst","11 - 20 years",482301.90
"Office Administrator","11 - 20 years",481771.00
"Administrative Manager","11 - 20 years",480490.00
"National Sales Coordinator","11 - 20 years",480000.00
"Senior Director, Web And Digital","11 - 20 years",480000.00
Member-Manager,"11 - 20 years",480000.00
"Assistant General Counsel","31 - 40 years",480000.00
"Principal Software Development Engineer","8 - 10 years",480000.00
"Program Manager ","8 - 10 years",480000.00
"Consultant ","8 - 10 years",479580.00
"Of Counsel","8 - 10 years",478000.00
"Research Analyst","5-7 years",477780.00
"Principal Consultant ","11 - 20 years",476512.00
"Corporate Counsel","11 - 20 years",476000.00
"Compliance Officer","11 - 20 years",475380.00
"Email Marketing Manager","11 - 20 years",475160.00
"Project Engineer","2 - 4 years",475096.00
"Principal Engineer","31 - 40 years",475000.00
"Data Engineer","11 - 20 years",474000.00
"Product Designer","5-7 years",473500.00
"Machine Learning Engineer","2 - 4 years",473000.00
"Director Of Strategy","21 - 30 years",473000.00
"Consultant ","5-7 years",472500.00
"Director ","21 - 30 years",471500.00
"Vice President, Financial Planning & Analysis","11 - 20 years",471500.00
"Research Associate","8 - 10 years",471402.50
"Director Of Operations","21 - 30 years",471310.00
"Mechanical Engineer","11 - 20 years",471000.00
"Director ","8 - 10 years",469440.00
"Social Worker","11 - 20 years",468595.00
"Human Resources Director","11 - 20 years",468000.00
"Engineering Manager ","11 - 20 years",468000.00
"Associate General Counsel","5-7 years",467500.00
"Legal Assistant","31 - 40 years",466750.00
"Director, Analytics","11 - 20 years",466500.00
"Hr Business Partner","8 - 10 years",465738.00
"Head Of Product","11 - 20 years",463720.00
"Ux Manager","11 - 20 years",463413.00
"It Project Manager","8 - 10 years",463250.00
"Environmental Consultant","8 - 10 years",462090.00
"Scrum Master","11 - 20 years",462000.00
"Head Of Engineering","11 - 20 years",461925.00
"Risk Manager","11 - 20 years",461300.00
"Director Growth","8 - 10 years",460000.00
"Senior Director Of Engineering","11 - 20 years",460000.00
"Senior Corporate Counsel","31 - 40 years",460000.00
Copywriter,"5-7 years",459696.50
"It Director","8 - 10 years",459000.00
"Product Marketing Manager","11 - 20 years",459000.00
"Senior Producer","11 - 20 years",458604.00
"Director Of Sustainability","11 - 20 years",458000.00
"Senior Legal Editor","11 - 20 years",457228.00
"Creative Director","11 - 20 years",457000.00
"General Counsel & Chief Compliance Officer","11 - 20 years",455000.00
"Medical Writer","5-7 years",454550.00
"Senior Communications Manager","11 - 20 years",452265.00
"Human Resources Director","21 - 30 years",452000.00
"Mechanical Engineer","8 - 10 years",451625.00
"Communications Director","8 - 10 years",451000.00
Physician,"11 - 20 years",450000.00
Coo,"21 - 30 years",450000.00
"Sr Director, Design","11 - 20 years",450000.00
"Assistant Underwriter ","1 year or less",450000.00
"Vice President And General Counsel","31 - 40 years",450000.00
"Programmer ","5-7 years",450000.00
"Director Project Controls ","31 - 40 years",450000.00
"Supply Chain Manager","11 - 20 years",448435.00
"Budget Analyst","11 - 20 years",448416.00
"Social Worker","8 - 10 years",448050.00
"Managing Director","8 - 10 years",448000.00
"Qa Manager","11 - 20 years",447375.00
"Staff Product Manager","11 - 20 years",447000.00
"Marketing Manager ","8 - 10 years",446502.00
Veterinarian,"5-7 years",446500.00
"Administrative Assistant ","11 - 20 years",445311.50
"Staff Engineer","8 - 10 years",445000.00
"Data Science Manager","8 - 10 years",444150.00
"Controller ","11 - 20 years",443875.00
"Engineering Team Lead","11 - 20 years",443750.00
"Legal Assistant","11 - 20 years",441634.10
"Associate Editor","5-7 years",441464.00
"Proposal Manager","21 - 30 years",441038.00
"Senior Electrical Engineer","8 - 10 years",441000.00
Ciso,"21 - 30 years",440280.00
"Chief Advancement Officer","21 - 30 years",440000.00
"Senior Associate (Lawyer)","8 - 10 years",440000.00
"Director Of Engineering","5-7 years",440000.00
"Senior Graphic Designer","5-7 years",439999.00
"Director Of Hr","21 - 30 years",437000.00
"Systems Administrator","11 - 20 years",436468.20
"Staff Engineer","21 - 30 years",436380.00
"User Experience Researcher","5-7 years",436000.00
"Accounts Payable Manager","11 - 20 years",435300.00
Physician,"21 - 30 years",435000.00
"Physical Therapist","11 - 20 years",434883.00
Accountant,"5-7 years",434678.00
"Customer Service Manager","21 - 30 years",434267.00
"Social Media Manager","5-7 years",434190.60
"Sr Ux Designer","11 - 20 years",434000.00
"Senior Systems Engineer","11 - 20 years",433869.00
"Marketing Coordinator","5-7 years",433511.00
"Hr Director ","21 - 30 years",433450.00
"Branch Manager","21 - 30 years",433000.00
"Supervisor ","11 - 20 years",432911.00
"Chief Counsel","21 - 30 years",432000.00
Administrator,"11 - 20 years",431511.00
Developer,"5-7 years",431500.00
"Marketing Coordinator","2 - 4 years",431131.00
"Software Engineer Iii","5-7 years",430000.00
"Vp Of Accounting","11 - 20 years",430000.00
"Technical Writer","8 - 10 years",429772.00
"Data Analyst ","8 - 10 years",429230.00
"Business Manager","21 - 30 years",429000.00
"Sales Engineer","8 - 10 years",427989.60
"Deputy Executive Director","11 - 20 years",427125.00
"Systems Engineer","21 - 30 years",426700.00
"Product Designer","8 - 10 years",426500.00
"Technical Program Manager","8 - 10 years",426000.00
Engineer,"8 - 10 years",425824.00
"Research Analyst","2 - 4 years",425510.00
"Senior Product Marketing Manager","8 - 10 years",425000.00
"Desktop Supporg","5-7 years",425000.00
"Department Manager","11 - 20 years",424300.00
"Director, Product Management","21 - 30 years",424000.00
"Family Physician","5-7 years",423000.00
Teacher,"31 - 40 years",422865.00
"Software Consultant","11 - 20 years",422000.00
"Communications Specialist","2 - 4 years",422000.00
Statistician,"11 - 20 years",421993.00
"Senior Researcher","8 - 10 years",421900.00
"Program Coordinator","8 - 10 years",421701.00
"Ux Designer","2 - 4 years",421640.00
Pharmacist,"8 - 10 years",421020.00
Cfo,"11 - 20 years",420000.00
"Chief Of Pathology","21 - 30 years",420000.00
"Technical Program Manager  ","5-7 years",420000.00
"Onlyfans Creator ","5-7 years",420000.00
"Manager, Program Management","8 - 10 years",420000.00
"Senior Policy Advisor","5-7 years",419017.40
"Senior Research Associate","2 - 4 years",419000.00
"Patent Agent","2 - 4 years",418800.00
"Creative Director","8 - 10 years",418328.00
"Senior Product Manager","2 - 4 years",418250.00
"Senior Research Scientist","11 - 20 years",418000.00
"Research Scientist","21 - 30 years",418000.00
"Research Analyst","11 - 20 years",417600.00
"Policy Director","8 - 10 years",417500.00
"Senior Business Analyst","8 - 10 years",417126.00
"Senior Finance Manager","11 - 20 years",417000.00
"Software Development Engineer","41 years or more",417000.00
"Senior Software Engineer","41 years or more",417000.00
Buyer,"5-7 years",416250.00
"School Psychologist","11 - 20 years",415823.00
"Development Officer","11 - 20 years",415708.00
Epidemiologist,"11 - 20 years",415500.00
"Editorial Director","11 - 20 years",415350.00
"Agile Coach","11 - 20 years",415000.00
"Human Resources Business Partner","8 - 10 years",414800.00
Auditor,"11 - 20 years",414444.00
"Senior Scientist","8 - 10 years",413750.00
"Senior User Experience Researcher","11 - 20 years",413375.00
Controller,"5-7 years",413000.00
"Portfolio Manager","11 - 20 years",412000.00
"Information Security Architect","11 - 20 years",412000.00
Geologist,"11 - 20 years",411468.00
"Design Lead","11 - 20 years",411250.00
"Civil Engineer","11 - 20 years",411080.00
Consultant,"31 - 40 years",411000.00
Paralegal,"31 - 40 years",410500.00
"Vp Of Sales","11 - 20 years",410000.00
"Recruiting Manager","8 - 10 years",410000.00
"Associate Creative Director","11 - 20 years",410000.00
"Senior Managing Director","8 - 10 years",410000.00
"Art Curator And Professor","8 - 10 years",410000.00
"Director, Product Management ","11 - 20 years",410000.00
"Grants Manager","8 - 10 years",409750.00
"Accounting Manager","5-7 years",407389.50
Lawyer,"2 - 4 years",406917.50
Engineer,"5-7 years",406200.00
"Case Manager","5-7 years",405760.00
"Technical Lead / Manager","11 - 20 years",405150.00
"Director Of Government Affairs","11 - 20 years",405000.00
"Technical Writer","2 - 4 years",404650.00
"Creative Director","21 - 30 years",403632.00
Director,"31 - 40 years",402862.00
Lecturer,"8 - 10 years",402537.00
Sre,"11 - 20 years",402500.00
"Senior Data Analyst","11 - 20 years",402425.00
"Senior Technical Writer","8 - 10 years",402160.40
Planner,"5-7 years",401585.00
"Environmental Manager","21 - 30 years",400800.00
"Director Of Customer Success","8 - 10 years",400574.00
"Senior Expert","21 - 30 years",400000.00
"Creative Technologist ","11 - 20 years",400000.00
"Supply Chain Manager","21 - 30 years",400000.00
"Director Of Football","8 - 10 years",400000.00
"Technical Recruiting Manager","8 - 10 years",400000.00
"Sales And Trading","5-7 years",400000.00
"Security Engineering Manager","11 - 20 years",400000.00
"Vice President Of Corporate Communications And Investor Relations","11 - 20 years",400000.00
Cpo,"11 - 20 years",400000.00
"Brand Consultant","11 - 20 years",400000.00
"Policy Analyst","5-7 years",399372.20
Vp,"8 - 10 years",398800.00
"Executive Assistant ","31 - 40 years",398264.60
Pharmacist,"11 - 20 years",397669.00
"Sales Engineering Manager","11 - 20 years",396500.00
"Senior Product Designer","11 - 20 years",395916.00
"Sales Manager ","2 - 4 years",395820.00
Supervisor,"5-7 years",395646.00
"Lead Product Designer","11 - 20 years",395500.00
"Director Of Finance","11 - 20 years",395261.00
"Senior Engineer ","11 - 20 years",395000.00
"Sales Engineer","11 - 20 years",395000.00
"Executive Director","31 - 40 years",395000.00
"Production Engineer","11 - 20 years",395000.00
Lawyer,"8 - 10 years",394782.00
Curator,"11 - 20 years",394308.00
"Product Owner","21 - 30 years",393900.00
"Art Director Of (Sub Category)","11 - 20 years",393750.00
"Store Manager","21 - 30 years",393128.00
"Senior Systems Engineer","8 - 10 years",393000.00
"Product Management Leader","8 - 10 years",393000.00
"Sr Director It","21 - 30 years",392000.00
"Director Of Customer Experience","11 - 20 years",391500.00
"Contracts Manager","5-7 years",390650.00
"Content Strategist","5-7 years",390435.00
"Principal Software Engineer","31 - 40 years",390000.00
"Physician Assistant","11 - 20 years",390000.00
Physician,"31 - 40 years",389000.00
"Associate Chairperson","8 - 10 years",389000.00
"Principal Consultant","31 - 40 years",388800.00
"Vp Hr","11 - 20 years",388345.00
Svp,"21 - 30 years",388034.00
"Process Engineer","11 - 20 years",388000.00
"Salesforce Administrator","11 - 20 years",387600.00
Researcher,"11 - 20 years",387020.00
"Principal Scientist","21 - 30 years",387000.00
"Firmware Engineer","11 - 20 years",387000.00
"Electrical Engineer","11 - 20 years",386500.00
"Senior Research Analyst","5-7 years",386400.00
"Software Engineer 2","5-7 years",385900.00
Copywriter,"8 - 10 years",385843.00
"Tech Lead","11 - 20 years",384180.00
"Customer Service Manager","11 - 20 years",383575.00
"Communications Strategist","5-7 years",383500.00
"Senior Product Designer","21 - 30 years",382692.00
"Database Administrator","21 - 30 years",382690.00
"Senior Security Analyst","5-7 years",382500.00
"Senior Editor","5-7 years",381800.00
"Financial Analyst","5-7 years",381221.00
"Chief Engineer","21 - 30 years",381000.00
"Account Executive ","21 - 30 years",380000.00
"Head Of Sales","11 - 20 years",380000.00
Banker,"11 - 20 years",380000.00
"Investment Professional","5-7 years",380000.00
"Ml/Ai Scientist","8 - 10 years",380000.00
"Senior Associate ","5-7 years",378457.60
"Site Reliability Engineer","8 - 10 years",378120.00
"Senior Director, Strategy","11 - 20 years",378000.00
"Media Director","11 - 20 years",378000.00
"Orthopedic Surgeon","8 - 10 years",378000.00
"Senior Manager - Tax","8 - 10 years",378000.00
"Sales Director","21 - 30 years",378000.00
Translator,"21 - 30 years",377708.50
"Finance Manager","21 - 30 years",377310.00
"Digital Designer","11 - 20 years",377000.00
"Sr. Program Manager","11 - 20 years",376854.00
"It Business Analyst","11 - 20 years",376400.00
"Quality Assurance Manager","11 - 20 years",376284.50
"Team Leader","11 - 20 years",375576.00
"Product Owner","5-7 years",374960.00
"Deputy Ceo","21 - 30 years",374460.00
"Head Of Infrastructure ","21 - 30 years",374400.00
"Senior Policy Analyst","8 - 10 years",374144.00
"Store Manager","11 - 20 years",374031.00
"Senior Engineer ","8 - 10 years",374000.00
"Vp, Controller","21 - 30 years",374000.00
"Hr Generalist","21 - 30 years",372968.00
"Software Engineer Ii","11 - 20 years",372750.00
"Assistant Manager","5-7 years",372713.40
"Lead Data Scientist","11 - 20 years",372000.00
"Managing Director","21 - 30 years",371000.00
"Vice President","31 - 40 years",370924.80
"Senior Network Engineer","11 - 20 years",370560.00
"Hr Generalist ","11 - 20 years",370436.00
"It Director","11 - 20 years",370250.00
"Senior Product Line Manager","11 - 20 years",370000.00
Provost,"31 - 40 years",370000.00
"Senior Ux Researcher","5-7 years",370000.00
"Senior Software Development Engineer","8 - 10 years",370000.00
"Senior Consultant ","8 - 10 years",370000.00
"Senior Program Manager ","21 - 30 years",369727.00
"Associate General Counsel ","11 - 20 years",369000.00
"Head Of School","21 - 30 years",368500.00
"Physical Therapist","5-7 years",367000.00
"Academic Advisor","8 - 10 years",367000.00
"Hr Business Partner","21 - 30 years",366685.00
"Full Stack Developer","11 - 20 years",366661.00
Lawyer,"41 years or more",366000.00
"Sr Manager","11 - 20 years",365000.00
